PassengerId,Name,Sex,Age,Survived,Pclass,Ticket,Fare,Surname,Apellidos,Title
32,"Spencer, Mrs. William Augustus (Marie Eugenie)",0,29.69911764705882,1,1,PC 17569,146.5208,Spencer,1,3
33,"Glynn, Miss. Mary Agatha",0,29.69911764705882,1,3,335677,7.75,Glynn,1,1
34,"Wheadon, Mr. Edward H",1,66.0,0,2,C.A. 24579,10.5,Wheadon,1,2
35,"Meyer, Mr. Edgar Joseph",1,28.0,0,1,PC 17604,82.1708,Meyer,3,2
36,"Holverson, Mr. Alexander Oskar",1,42.0,0,1,113789,52.0,Holverson,2,2
37,"Mamee, Mr. Hanna",1,29.69911764705882,1,3,2677,7.2292,Mamee,1,2
38,"Cann, Mr. Ernest Charles",1,21.0,0,3,A./5. 2152,8.05,Cann,1,2
39,"Vander Planke, Miss. Augusta Maria",0,18.0,0,3,345764,18.0,Vander Planke,3,1
40,"Nicola-Yarred, Miss. Jamila",0,14.0,1,3,2651,11.2417,Nicola-Yarred,2,1
41,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",0,40.0,0,3,7546,9.475,Ahlin,1,3
42,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",0,27.0,0,2,11668,21.0,Turpin,2,3
43,"Kraeff, Mr. Theodor",1,29.69911764705882,0,3,349253,7.8958,Kraeff,1,2
44,"Laroche, Miss. Simonne Marie Anne Andree",0,3.0,1,2,SC/Paris 2123,41.5792,Laroche,3,1
45,"Devaney, Miss. Margaret Delia",0,19.0,1,3,330958,7.8792,Devaney,1,1
46,"Rogers, Mr. William John",1,29.69911764705882,0,3,S.C./A.4. 23567,8.05,Rogers,1,2
47,"Lennon, Mr. Denis",1,29.69911764705882,0,3,370371,15.5,Lennon,1,2
48,"O'Driscoll, Miss. Bridget",0,29.69911764705882,1,3,14311,7.75,O'Driscoll,1,1
49,"Samaan, Mr. Youssef",1,29.69911764705882,0,3,2662,21.6792,Samaan,1,2
50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",0,18.0,0,3,349237,17.8,Arnold-Franchi,2,3
51,"Panula, Master. Juha Niilo",1,7.0,0,3,3101295,39.6875,Panula,3,0
52,"Nosworthy, Mr. Richard Cater",1,21.0,0,3,A/4. 39886,7.8,Nosworthy,1,2
53,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",0,49.0,1,1,PC 17572,76.7292,Harper,3,3
54,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",0,29.0,1,2,2926,26.0,Faunthorpe,1,3
55,"Ostby, Mr. Engelhart Cornelius",1,65.0,0,1,113509,61.9792,Ostby,1,2
56,"Woolner, Mr. Hugh",1,29.69911764705882,1,1,19947,35.5,Woolner,1,2
57,"Rugg, Miss. Emily",0,21.0,1,2,C.A. 31026,10.5,Rugg,1,1
58,"Novel, Mr. Mansouer",1,28.5,0,3,2697,7.2292,Novel,1,2
59,"West, Miss. Constance Mirium",0,5.0,1,2,C.A. 34651,27.75,West,3,1
60,"Goodwin, Master. William Frederick",1,11.0,0,3,CA 2144,46.9,Goodwin,3,0
61,"Sirayanian, Mr. Orsen",1,22.0,0,3,2669,7.2292,Sirayanian,1,2
62,"Icard, Miss. Amelie",0,38.0,1,1,113572,80.0,Icard,1,1
63,"Harris, Mr. Henry Birkhardt",1,45.0,0,1,36973,83.475,Harris,3,2
64,"Skoog, Master. Harald",1,4.0,0,3,347088,27.9,Skoog,3,0
65,"Stewart, Mr. Albert A",1,29.69911764705882,0,1,PC 17605,27.7208,Stewart,1,2
66,"Moubarek, Master. Gerios",1,29.69911764705882,1,3,2661,15.2458,Moubarek,2,0
67,"Nye, Mrs. (Elizabeth Ramell)",0,29.0,1,2,C.A. 29395,10.5,Nye,1,3
68,"Crease, Mr. Ernest James",1,19.0,0,3,S.P. 3464,8.1583,Crease,1,2
69,"Andersson, Miss. Erna Alexandra",0,17.0,1,3,3101281,7.925,Andersson,3,1
70,"Kink, Mr. Vincenz",1,26.0,0,3,315151,8.6625,Kink,1,2
71,"Jenkin, Mr. Stephen Curnow",1,32.0,0,2,C.A. 33111,10.5,Jenkin,1,2
72,"Goodwin, Miss. Lillian Amy",0,16.0,0,3,CA 2144,46.9,Goodwin,3,1
73,"Hood, Mr. Ambrose Jr",1,21.0,0,2,S.O.C. 14879,73.5,Hood,1,2
74,"Chronopoulos, Mr. Apostolos",1,26.0,0,3,2680,14.4542,Chronopoulos,1,2
75,"Bing, Mr. Lee",1,32.0,1,3,1601,56.4958,Bing,1,2
76,"Moen, Mr. Sigurd Hansen",1,25.0,0,3,348123,7.65,Moen,1,2
77,"Staneff, Mr. Ivan",1,29.69911764705882,0,3,349208,7.8958,Staneff,1,2
78,"Moutal, Mr. Rahamin Haim",1,29.69911764705882,0,3,374746,8.05,Moutal,1,2
79,"Caldwell, Master. Alden Gates",1,0.83,1,2,248738,29.0,Caldwell,2,0
80,"Dowdell, Miss. Elizabeth",0,30.0,1,3,364516,12.475,Dowdell,1,1
81,"Waelens, Mr. Achille",1,22.0,0,3,345767,9.0,Waelens,1,2
82,"Sheerlinck, Mr. Jan Baptist",1,29.0,1,3,345779,9.5,Sheerlinck,1,2
83,"McDermott, Miss. Brigdet Delia",0,29.69911764705882,1,3,330932,7.7875,McDermott,1,1
84,"Carrau, Mr. Francisco M",1,28.0,0,1,113059,47.1,Carrau,1,2
85,"Ilett, Miss. Bertha",0,17.0,1,2,SO/C 14885,10.5,Ilett,1,1
86,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",0,33.0,1,3,3101278,15.85,Backstrom,2,3
87,"Ford, Mr. William Neal",1,16.0,0,3,W./C. 6608,34.375,Ford,3,2
88,"Slocovski, Mr. Selman Francis",1,29.69911764705882,0,3,SOTON/OQ 392086,8.05,Slocovski,1,2
89,"Fortune, Miss. Mabel Helen",0,23.0,1,1,19950,263.0,Fortune,3,1
90,"Celotti, Mr. Francesco",1,24.0,0,3,343275,8.05,Celotti,1,2
91,"Christmann, Mr. Emil",1,29.0,0,3,343276,8.05,Christmann,1,2
92,"Andreasson, Mr. Paul Edvin",1,20.0,0,3,347466,7.8542,Andreasson,1,2
93,"Chaffee, Mr. Herbert Fuller",1,46.0,0,1,W.E.P. 5734,61.175,Chaffee,1,2
94,"Dean, Mr. Bertram Frank",1,26.0,0,3,C.A. 2315,20.575,Dean,2,2
95,"Coxon, Mr. Daniel",1,59.0,0,3,364500,7.25,Coxon,1,2
96,"Shorney, Mr. Charles Joseph",1,29.69911764705882,0,3,374910,8.05,Shorney,1,2
97,"Goldschmidt, Mr. George B",1,71.0,0,1,PC 17754,34.6542,Goldschmidt,1,2
98,"Greenfield, Mr. William Bertram",1,23.0,1,1,PC 17759,63.3583,Greenfield,1,2
99,"Doling, Mrs. John T (Ada Julia Bone)",0,34.0,1,2,231919,23.0,Doling,2,3
100,"Kantor, Mr. Sinai",1,34.0,0,2,244367,26.0,Kantor,2,2
101,"Petranec, Miss. Matilda",0,28.0,0,3,349245,7.8958,Petranec,1,1
102,"Petroff, Mr. Pastcho (""Pentcho"")",1,29.69911764705882,0,3,349215,7.8958,Petroff,2,2
103,"White, Mr. Richard Frasar",1,21.0,0,1,35281,77.2875,White,2,2
104,"Johansson, Mr. Gustaf Joel",1,33.0,0,3,7540,8.6542,Johansson,3,2
105,"Gustafsson, Mr. Anders Vilhelm",1,37.0,0,3,3101276,7.925,Gustafsson,3,2
106,"Mionoff, Mr. Stoytcho",1,28.0,0,3,349207,7.8958,Mionoff,1,2
107,"Salkjelsvik, Miss. Anna Kristine",0,21.0,1,3,343120,7.65,Salkjelsvik,1,1
108,"Moss, Mr. Albert Johan",1,29.69911764705882,1,3,312991,7.775,Moss,1,2
109,"Rekic, Mr. Tido",1,38.0,0,3,349249,7.8958,Rekic,1,2
110,"Moran, Miss. Bertha",0,29.69911764705882,1,3,371110,24.15,Moran,3,1
111,"Porter, Mr. Walter Chamberlain",1,47.0,0,1,110465,52.0,Porter,1,2
112,"Zabour, Miss. Hileni",0,14.5,0,3,2665,14.4542,Zabour,2,1
113,"Barton, Mr. David John",1,22.0,0,3,324669,8.05,Barton,1,2
114,"Jussila, Miss. Katriina",0,20.0,0,3,4136,9.825,Jussila,3,1
115,"Attalah, Miss. Malake",0,17.0,0,3,2627,14.4583,Attalah,2,1
116,"Pekoniemi, Mr. Edvard",1,21.0,0,3,STON/O 2. 3101294,7.925,Pekoniemi,1,2
117,"Connors, Mr. Patrick",1,70.5,0,3,370369,7.75,Connors,1,2
118,"Turpin, Mr. William John Robert",1,29.0,0,2,11668,21.0,Turpin,2,2
119,"Baxter, Mr. Quigg Edmond",1,24.0,0,1,PC 17558,247.5208,Baxter,2,2
120,"Andersson, Miss. Ellis Anna Maria",0,2.0,0,3,347082,31.275,Andersson,3,1
121,"Hickman, Mr. Stanley George",1,21.0,0,2,S.O.C. 14879,73.5,Hickman,3,2
122,"Moore, Mr. Leonard Charles",1,29.69911764705882,0,3,A4. 54510,8.05,Moore,1,2
123,"Nasser, Mr. Nicholas",1,32.5,0,2,237736,30.0708,Nasser,2,2
124,"Webber, Miss. Susan",0,32.5,1,2,27267,13.0,Webber,2,1
125,"White, Mr. Percival Wayland",1,54.0,0,1,35281,77.2875,White,2,2
126,"Nicola-Yarred, Master. Elias",1,12.0,1,3,2651,11.2417,Nicola-Yarred,2,0
127,"McMahon, Mr. Martin",1,29.69911764705882,0,3,370372,7.75,McMahon,1,2
128,"Madsen, Mr. Fridtjof Arne",1,24.0,1,3,C 17369,7.1417,Madsen,1,2
129,"Peter, Miss. Anna",0,29.69911764705882,1,3,2668,22.3583,Peter,2,1
130,"Ekstrom, Mr. Johan",1,45.0,0,3,347061,6.975,Ekstrom,1,2
131,"Drazenoic, Mr. Jozef",1,33.0,0,3,349241,7.8958,Drazenoic,1,2
132,"Coelho, Mr. Domingos Fernandeo",1,20.0,0,3,SOTON/O.Q. 3101307,7.05,Coelho,1,2
133,"Robins, Mrs. Alexander A (Grace Charity Laury)",0,47.0,0,3,A/5. 3337,14.5,Robins,1,3
134,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",0,29.0,1,2,228414,26.0,Weisz,1,3
135,"Sobey, Mr. Samuel James Hayden",1,25.0,0,2,C.A. 29178,13.0,Sobey,1,2
136,"Richard, Mr. Emile",1,23.0,0,2,SC/PARIS 2133,15.0458,Richard,1,2
137,"Newsom, Miss. Helen Monypeny",0,19.0,1,1,11752,26.2833,Newsom,1,1
138,"Futrelle, Mr. Jacques Heath",1,37.0,0,1,113803,53.1,Futrelle,2,2
139,"Osen, Mr. Olaf Elon",1,16.0,0,3,7534,9.2167,Osen,1,2
140,"Giglio, Mr. Victor",1,24.0,0,1,PC 17593,79.2,Giglio,1,2
141,"Boulos, Mrs. Joseph (Sultana)",0,29.69911764705882,0,3,2678,15.2458,Boulos,3,3
142,"Nysten, Miss. Anna Sofia",0,22.0,1,3,347081,7.75,Nysten,1,1
143,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",0,24.0,1,3,STON/O2. 3101279,15.85,Hakkarainen,2,3
144,"Burke, Mr. Jeremiah",1,19.0,0,3,365222,6.75,Burke,1,2
145,"Andrew, Mr. Edgardo Samuel",1,18.0,0,2,231945,11.5,Andrew,1,2
146,"Nicholls, Mr. Joseph Charles",1,19.0,0,2,C.A. 33112,36.75,Nicholls,1,2
147,"Andersson, Mr. August Edvard (""Wennerstrom"")",1,27.0,1,3,350043,7.7958,Andersson,3,2
148,"Ford, Miss. Robina Maggie ""Ruby""",0,9.0,0,3,W./C. 6608,34.375,Ford,3,1
149,"Navratil, Mr. Michel (""Louis M Hoffman"")",1,36.5,0,2,230080,26.0,Navratil,3,2
150,"Byles, Rev. Thomas Roussel Davids",1,42.0,0,2,244310,13.0,Byles,1,4
151,"Bateman, Rev. Robert James",1,51.0,0,2,S.O.P. 1166,12.525,Bateman,1,4
152,"Pears, Mrs. Thomas (Edith Wearne)",0,22.0,1,1,113776,66.6,Pears,2,3
153,"Meo, Mr. Alfonzo",1,55.5,0,3,A.5. 11206,8.05,Meo,1,2
154,"van Billiard, Mr. Austin Blyler",1,40.5,0,3,A/5. 851,14.5,van Billiard,1,2
155,"Olsen, Mr. Ole Martin",1,29.69911764705882,0,3,Fa 265302,7.3125,Olsen,3,2
156,"Williams, Mr. Charles Duane",1,51.0,0,1,PC 17597,61.3792,Williams,3,2
157,"Gilnagh, Miss. Katherine ""Katie""",0,16.0,1,3,35851,7.7333,Gilnagh,1,1
158,"Corn, Mr. Harry",1,30.0,0,3,SOTON/OQ 392090,8.05,Corn,1,2
159,"Smiljanic, Mr. Mile",1,29.69911764705882,0,3,315037,8.6625,Smiljanic,1,2
160,"Sage, Master. Thomas Henry",1,29.69911764705882,0,3,CA. 2343,69.55,Sage,3,0
161,"Cribb, Mr. John Hatfield",1,44.0,0,3,371362,16.1,Cribb,1,2
162,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",0,40.0,1,2,C.A. 33595,15.75,Watt,1,3
163,"Bengtsson, Mr. John Viktor",1,26.0,0,3,347068,7.775,Bengtsson,1,2
164,"Calic, Mr. Jovo",1,17.0,0,3,315093,8.6625,Calic,2,2
165,"Panula, Master. Eino Viljami",1,1.0,0,3,3101295,39.6875,Panula,3,0
166,"Goldsmith, Master. Frank John William ""Frankie""",1,9.0,1,3,363291,20.525,Goldsmith,3,0
167,"Chibnall, Mrs. (Edith Martha Bowerman)",0,29.69911764705882,1,1,113505,55.0,Chibnall,1,3
168,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",0,45.0,0,3,347088,27.9,Skoog,3,3
169,"Baumann, Mr. John D",1,29.69911764705882,0,1,PC 17318,25.925,Baumann,1,2
170,"Ling, Mr. Lee",1,28.0,0,3,1601,56.4958,Ling,1,2
171,"Van der hoef, Mr. Wyckoff",1,61.0,0,1,111240,33.5,Van der hoef,1,2
172,"Rice, Master. Arthur",1,4.0,0,3,382652,29.125,Rice,3,0
173,"Johnson, Miss. Eleanor Ileen",0,1.0,1,3,347742,11.1333,Johnson,3,1
174,"Sivola, Mr. Antti Wilhelm",1,21.0,0,3,STON/O 2. 3101280,7.925,Sivola,1,2
175,"Smith, Mr. James Clinch",1,56.0,0,1,17764,30.6958,Smith,3,2
176,"Klasen, Mr. Klas Albin",1,18.0,0,3,350404,7.8542,Klasen,1,2
177,"Lefebre, Master. Henry Forbes",1,29.69911764705882,0,3,4133,25.4667,Lefebre,3,0
178,"Isham, Miss. Ann Elizabeth",0,50.0,0,1,PC 17595,28.7125,Isham,1,1
179,"Hale, Mr. Reginald",1,30.0,0,2,250653,13.0,Hale,1,2
180,"Leonard, Mr. Lionel",1,36.0,0,3,LINE,0.0,Leonard,1,2
181,"Sage, Miss. Constance Gladys",0,29.69911764705882,0,3,CA. 2343,69.55,Sage,3,1
182,"Pernot, Mr. Rene",1,29.69911764705882,0,2,SC/PARIS 2131,15.05,Pernot,1,2
183,"Asplund, Master. Clarence Gustaf Hugo",1,9.0,0,3,347077,31.3875,Asplund,3,0
184,"Becker, Master. Richard F",1,1.0,1,2,230136,39.0,Becker,2,0
185,"Kink-Heilmann, Miss. Luise Gretchen",0,4.0,1,3,315153,22.025,Kink-Heilmann,1,1
186,"Rood, Mr. Hugh Roscoe",1,29.69911764705882,0,1,113767,50.0,Rood,1,2
187,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",0,29.69911764705882,1,3,370365,15.5,O'Brien,3,3
188,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",1,45.0,1,1,111428,26.55,Romaine,1,2
189,"Bourke, Mr. John",1,40.0,0,3,364849,15.5,Bourke,3,2
190,"Turcin, Mr. Stjepan",1,36.0,0,3,349247,7.8958,Turcin,1,2
191,"Pinsky, Mrs. (Rosa)",0,32.0,1,2,234604,13.0,Pinsky,1,3
192,"Carbines, Mr. William",1,19.0,0,2,28424,13.0,Carbines,1,2
193,"Andersen-Jensen, Miss. Carla Christine Nielsine",0,19.0,1,3,350046,7.8542,Andersen-Jensen,1,1
194,"Navratil, Master. Michel M",1,3.0,1,2,230080,26.0,Navratil,3,0
195,"Brown, Mrs. James Joseph (Margaret Tobin)",0,44.0,1,1,PC 17610,27.7208,Brown,3,3
196,"Lurette, Miss. Elise",0,58.0,1,1,PC 17569,146.5208,Lurette,1,1
197,"Mernagh, Mr. Robert",1,29.69911764705882,0,3,368703,7.75,Mernagh,1,2
198,"Olsen, Mr. Karl Siegwart Andreas",1,42.0,0,3,4579,8.4042,Olsen,3,2
199,"Madigan, Miss. Margaret ""Maggie""",0,29.69911764705882,1,3,370370,7.75,Madigan,1,1
200,"Yrois, Miss. Henriette (""Mrs Harbeck"")",0,24.0,0,2,248747,13.0,Yrois,1,1
201,"Vande Walle, Mr. Nestor Cyriel",1,28.0,0,3,345770,9.5,Vande Walle,1,2
202,"Sage, Mr. Frederick",1,29.69911764705882,0,3,CA. 2343,69.55,Sage,3,2
203,"Johanson, Mr. Jakob Alfred",1,34.0,0,3,3101264,6.4958,Johanson,1,2
204,"Youseff, Mr. Gerious",1,45.5,0,3,2628,7.225,Youseff,1,2
205,"Cohen, Mr. Gurshon ""Gus""",1,18.0,1,3,A/5 3540,8.05,Cohen,1,2
206,"Strom, Miss. Telma Matilda",0,2.0,0,3,347054,10.4625,Strom,2,1
207,"Backstrom, Mr. Karl Alfred",1,32.0,0,3,3101278,15.85,Backstrom,2,2
208,"Albimona, Mr. Nassef Cassem",1,26.0,1,3,2699,18.7875,Albimona,1,2
209,"Carr, Miss. Helen ""Ellen""",0,16.0,1,3,367231,7.75,Carr,1,1
210,"Blank, Mr. Henry",1,40.0,1,1,112277,31.0,Blank,1,2
211,"Ali, Mr. Ahmed",1,24.0,0,3,SOTON/O.Q. 3101311,7.05,Ali,2,2
212,"Cameron, Miss. Clear Annie",0,35.0,1,2,F.C.C. 13528,21.0,Cameron,1,1
213,"Perkin, Mr. John Henry",1,22.0,0,3,A/5 21174,7.25,Perkin,1,2
214,"Givard, Mr. Hans Kristensen",1,30.0,0,2,250646,13.0,Givard,1,2
215,"Kiernan, Mr. Philip",1,29.69911764705882,0,3,367229,7.75,Kiernan,1,2
216,"Newell, Miss. Madeleine",0,31.0,1,1,35273,113.275,Newell,3,1
217,"Honkanen, Miss. Eliina",0,27.0,1,3,STON/O2. 3101283,7.925,Honkanen,1,1
218,"Jacobsohn, Mr. Sidney Samuel",1,42.0,0,2,243847,27.0,Jacobsohn,2,2
219,"Bazzani, Miss. Albina",0,32.0,1,1,11813,76.2917,Bazzani,1,1
220,"Harris, Mr. Walter",1,30.0,0,2,W/C 14208,10.5,Harris,3,2
221,"Sunderland, Mr. Victor Francis",1,16.0,1,3,SOTON/OQ 392089,8.05,Sunderland,1,2
222,"Bracken, Mr. James H",1,27.0,0,2,220367,13.0,Bracken,1,2
223,"Green, Mr. George Henry",1,51.0,0,3,21440,8.05,Green,1,2
224,"Nenkoff, Mr. Christo",1,29.69911764705882,0,3,349234,7.8958,Nenkoff,1,2
225,"Hoyt, Mr. Frederick Maxfield",1,38.0,1,1,19943,90.0,Hoyt,3,2
226,"Berglund, Mr. Karl Ivar Sven",1,22.0,0,3,PP 4348,9.35,Berglund,1,2
227,"Mellors, Mr. William John",1,19.0,1,2,SW/PP 751,10.5,Mellors,1,2
228,"Lovell, Mr. John Hall (""Henry"")",1,20.5,0,3,A/5 21173,7.25,Lovell,1,2
229,"Fahlstrom, Mr. Arne Jonas",1,18.0,0,2,236171,13.0,Fahlstrom,1,2
230,"Lefebre, Miss. Mathilde",0,29.69911764705882,0,3,4133,25.4667,Lefebre,3,1
231,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",0,35.0,1,1,36973,83.475,Harris,3,3
232,"Larsson, Mr. Bengt Edvin",1,29.0,0,3,347067,7.775,Larsson,2,2
233,"Sjostedt, Mr. Ernst Adolf",1,59.0,0,2,237442,13.5,Sjostedt,1,2
234,"Asplund, Miss. Lillian Gertrud",0,5.0,1,3,347077,31.3875,Asplund,3,1
235,"Leyson, Mr. Robert William Norman",1,24.0,0,2,C.A. 29566,10.5,Leyson,1,2
236,"Harknett, Miss. Alice Phoebe",0,29.69911764705882,0,3,W./C. 6609,7.55,Harknett,1,1
237,"Hold, Mr. Stephen",1,44.0,0,2,26707,26.0,Hold,1,2
238,"Collyer, Miss. Marjorie ""Lottie""",0,8.0,1,2,C.A. 31921,26.25,Collyer,3,1
239,"Pengelly, Mr. Frederick William",1,19.0,0,2,28665,10.5,Pengelly,1,2
240,"Hunt, Mr. George Henry",1,33.0,0,2,SCO/W 1585,12.275,Hunt,1,2
241,"Zabour, Miss. Thamine",0,29.69911764705882,0,3,2665,14.4542,Zabour,2,1
242,"Murphy, Miss. Katherine ""Kate""",0,29.69911764705882,1,3,367230,15.5,Murphy,2,1
243,"Coleridge, Mr. Reginald Charles",1,29.0,0,2,W./C. 14263,10.5,Coleridge,1,2
244,"Maenpaa, Mr. Matti Alexanteri",1,22.0,0,3,STON/O 2. 3101275,7.125,Maenpaa,1,2
245,"Attalah, Mr. Sleiman",1,30.0,0,3,2694,7.225,Attalah,2,2
246,"Minahan, Dr. William Edward",1,44.0,0,1,19928,90.0,Minahan,2,4
247,"Lindahl, Miss. Agda Thorilda Viktoria",0,25.0,0,3,347071,7.775,Lindahl,1,1
248,"Hamalainen, Mrs. William (Anna)",0,24.0,1,2,250649,14.5,Hamalainen,2,3
249,"Beckwith, Mr. Richard Leonard",1,37.0,1,1,11751,52.5542,Beckwith,2,2
250,"Carter, Rev. Ernest Courtenay",1,54.0,0,2,244252,26.0,Carter,3,4
251,"Reed, Mr. James George",1,29.69911764705882,0,3,362316,7.25,Reed,1,2
252,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",0,29.0,0,3,347054,10.4625,Strom,2,3
253,"Stead, Mr. William Thomas",1,62.0,0,1,113514,26.55,Stead,1,2
254,"Lobb, Mr. William Arthur",1,30.0,0,3,A/5. 3336,16.1,Lobb,2,2
255,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",0,41.0,0,3,370129,20.2125,Rosblom,2,3
256,"Touma, Mrs. Darwis (Hanne Youssef Razi)",0,29.0,1,3,2650,15.2458,Touma,1,3
257,"Thorne, Mrs. Gertrude Maybelle",0,29.69911764705882,1,1,PC 17585,79.2,Thorne,1,3
258,"Cherry, Miss. Gladys",0,30.0,1,1,110152,86.5,Cherry,1,1
259,"Ward, Miss. Anna",0,35.0,1,1,PC 17755,512.3292,Ward,1,1
260,"Parrish, Mrs. (Lutie Davis)",0,50.0,1,2,230433,26.0,Parrish,1,3
261,"Smith, Mr. Thomas",1,29.69911764705882,0,3,384461,7.75,Smith,3,2
262,"Asplund, Master. Edvin Rojj Felix",1,3.0,1,3,347077,31.3875,Asplund,3,0
263,"Taussig, Mr. Emil",1,52.0,0,1,110413,79.65,Taussig,3,2
264,"Harrison, Mr. William",1,40.0,0,1,112059,0.0,Harrison,1,2
265,"Henry, Miss. Delia",0,29.69911764705882,0,3,382649,7.75,Henry,1,1
266,"Reeves, Mr. David",1,36.0,0,2,C.A. 17248,10.5,Reeves,1,2
267,"Panula, Mr. Ernesti Arvid",1,16.0,0,3,3101295,39.6875,Panula,3,2
268,"Persson, Mr. Ernst Ulrik",1,25.0,1,3,347083,7.775,Persson,1,2
269,"Graham, Mrs. William Thompson (Edith Junkins)",0,58.0,1,1,PC 17582,153.4625,Graham,3,3
270,"Bissette, Miss. Amelia",0,35.0,1,1,PC 17760,135.6333,Bissette,1,1
271,"Cairns, Mr. Alexander",1,29.69911764705882,0,1,113798,31.0,Cairns,1,2
272,"Tornquist, Mr. William Henry",1,25.0,1,3,LINE,0.0,Tornquist,1,2
273,"Mellinger, Mrs. (Elizabeth Anne Maidment)",0,41.0,1,2,250644,19.5,Mellinger,2,3
274,"Natsch, Mr. Charles H",1,37.0,0,1,PC 17596,29.7,Natsch,1,2
275,"Healy, Miss. Hanora ""Nora""",0,29.69911764705882,1,3,370375,7.75,Healy,1,1
276,"Andrews, Miss. Kornelia Theodosia",0,63.0,1,1,13502,77.9583,Andrews,2,1
277,"Lindblom, Miss. Augusta Charlotta",0,45.0,0,3,347073,7.75,Lindblom,1,1
278,"Parkes, Mr. Francis ""Frank""",1,29.69911764705882,0,2,239853,0.0,Parkes,1,2
279,"Rice, Master. Eric",1,7.0,0,3,382652,29.125,Rice,3,0
280,"Abbott, Mrs. Stanton (Rosa Hunt)",0,35.0,1,3,C.A. 2673,20.25,Abbott,2,3
